GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs.student.main.Business,WebScraper,205,0,10,0,48,0,7,0,2,0
s0,edu.brown.cs.student.main.Business,WebScraper.Result,15,0,0,0,1,0,3,0,3,0
s0,edu.brown.cs.student.main.Business,WebScraper.Info,21,0,0,0,1,0,4,0,4,0
s0,edu.brown.cs.student.main.Business,WebScraper.GeocodingResponse,21,0,0,0,1,0,4,0,4,0
s0,edu.brown.cs.student.main.Business,WebScraper.Copyright,21,0,0,0,1,0,4,0,4,0
s0,edu.brown.cs.student.main.Business,WebScraper.ProvidedLocation,9,0,0,0,1,0,2,0,2,0
s0,edu.brown.cs.student.main.Business,WebScraper.Location,135,0,0,0,1,0,23,0,23,0
s0,edu.brown.cs.student.main.Business,WebScraper.Options,15,0,0,0,1,0,3,0,3,0
s0,edu.brown.cs.student.main.Business,WebScraper.LatLng,15,0,0,0,1,0,3,0,3,0
s0,edu.brown.cs.student.main.Server,Server,45,0,0,0,14,0,3,0,3,0
s0,edu.brown.cs.student.main.Server.Handlers,BusinessHandler,50,0,0,0,10,0,2,0,2,0
s0,edu.brown.cs.student.main.Server.Handlers,SpotifyHandler,49,0,0,0,10,0,2,0,2,0
s0,edu.brown.cs.student.main.Server.Handlers,CreatorHandler,63,0,0,0,14,0,2,0,2,0
s0,edu.brown.cs.student.main.Database.Creators,SubmittedCreators,18,0,0,0,6,0,3,0,3,0
s0,edu.brown.cs.student.main.Database.Creators,SpotifyCreators,3,0,0,0,1,0,1,0,1,0
